Channel,Store Code,Store Name,Status
FRANCHISE,BASEUS,BASEUS.AYALA.BONIFACIO HIGH STREET.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,BEYOND THE BOX.LIMKETKAI MALL.CDO.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,BEYOND THE BOX.AYALA.FAIRVIEW TERRACES.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,BEYOND THE BOX.MEGAWORLD.FORBESTOWN.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,BEYOND THE BOX.MEGAWORLD.LUCKY CHINATOWN.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,BEYOND THE BOX.AYALA.MARKET MARKET.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.AYALA.CLOVERLEAF.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.CAPITOL COMMONS.ESTANCIA.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.FESTIVAL MALL.ALABANG.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.AYALA.GREENBELT 5.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.ROBINSONS.MAGNOLIA.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.AYALA.UPTC.FRA,ACTIVE
FRANCHISE,DIGITAL_WALKER,DIGITAL WALKER.AYALA.VERTIS NORTH.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,BEYOND THE BOX.THE PLAZA.GUAM.FRA,ACTIVE
FRANCHISE,BEYOND_THE_BOX,I CENTER.CROSSROADS MALL.CEBU.FRA,ACTIVE
ONLINE,ONLINE,FITBIT.LAZADA.FBV.ONL,ACTIVE
ONLINE,ONLINE,ONEPLUS.LAZADA.FBV.ONL,ACTIVE
ONLINE,ONLINE,ONEPLUS.SHOPEE.FBV.ONL,ACTIVE
ONLINE,ONLINE,CLOUD LOGIC.NEW MANILA.ONL,ACTIVE
ONLINE,ONLINE,BASEUS.LAZADA.FBV.ONL,ACTIVE
ONLINE,ONLINE,FITBIT.SHOPEE.FBV.ONL,ACTIVE
ONLINE,ONLINE,BASEUS.SHOPEE.FBV.ONL,ACTIVE
RETAIL,BASEUS,BASEUS.SM.FAIRVIEW.RTL,ACTIVE
RETAIL,BASEUS,BASEUS.SM.SOUTHMALL.RTL,ACTIVE
RETAIL,BASEUS,BASEUS.AYALA.TRINOMA.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.CENTURY CITY.MAKATI.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.CITY OF DREAMS.MANILA.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.ROBINSONS.ERMITA.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.ROBINSONS.GALLERIA.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.MEGAWORLD.VENICE GRAND CANAL.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.MEGAWORLD.NEWPORT.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.ONE ROCKWELL.MAKATI.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.SM.BAGUIO.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.MEGAWORLD.SOUTHWOODS.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.MEGAWORLD.UPTOWN MALL.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.KCC.VERANZA.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,BEYOND THE BOX.GREENHILLS.VMALL.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.ABREEZA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.THE 30TH.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.CENTRIO.CDO.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.CENTURY CITY.MAKATI.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SUPERMALLS.CONRAD HOTEL.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.MEGAWORLD.EASTWOOD.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.ROBINSONS.ERMITA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.MALLERS.FISHERMALL.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.GLORIETTA 2.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.NUVALI SOLENAD.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.OKADA.MANILA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.ONE BONIFACIO.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.ROBINSONS.PIONEER.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SUPERMALLS.THE PODIUM.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.ROCKWELL.POWERPLANT.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SHANGRI-LA.EDSA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SM.AURA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SM.BAGUIO.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SM.CEBU.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SM.MALL OF ASIA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.TRINOMA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.GREENHILLS.VMALL.RTL,ACTIVE
RETAIL,OMG,OMG.SM.CDO.RTL,ACTIVE
RETAIL,OMG,OMG.ROBINSONS.ERMITA.RTL,ACTIVE
RETAIL,OMG,OMG.AYALA.FELIZ.RTL,ACTIVE
RETAIL,OMG,OMG.MEGAWORLD.FESTIVE WALK.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,OUTERSPACE.NAIA.TERMINAL 3.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,SERVICE CENTER.AYALA.BONIFACIO HIGH STREET.RTL,ACTIVE
RETAIL,BEYOND_THE_BOX,SERVICE CENTER.GREENHILLS.VMALL.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.SM.NORTH EDSA.RTL,ACTIVE
RETAIL,BASEUS,BASEUS.SM.NORTH EDSA.RTL,ACTIVE
RETAIL,DIGITAL_WALKER,DIGITAL WALKER.AYALA.CEBU.RTL,ACTIVE
RETAIL,BASEUS,BASEUS.AYALA.UPTC.RTL,ACTIVE
