Channel,Store Type,Store Name,Bill To,Store Location,Status
DISTRIBUTION,GOOD,ABENSON.ASCOTT.BGC.CON,,,ACTIVE
DISTRIBUTION,GOOD,ABENSON.AYALA.GLORIETTA 3.CON,,,ACTIVE
DISTRIBUTION,GOOD,ABENSON.HEAD OFFICE.CON,,,ACTIVE
DISTRIBUTION,GOOD,ABENSON.W MALL.PASAY.CON,,,ACTIVE
DISTRIBUTION,GOOD,ABENSON.ONLINE.CON,,,ACTIVE
DISTRIBUTION,GOOD,FASHION RACK.CLARK AIRPORT.CON,,,ACTIVE
DISTRIBUTION,GOOD,FASHION RACK.NAIA TERMINAL 3.CON,,,ACTIVE
DISTRIBUTION,GOOD,FELCRIS DAVAO.FELCRIS CENTRALE.DAVAO.CON,,,ACTIVE
DISTRIBUTION,GOOD,GLOBE.HEAD OFFICE.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STUDIO.SM.MANILA.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STUDIO.AYALA.SERENDRA.CON,,,ACTIVE
DISTRIBUTION,GOOD,I STUDIO.SHANGRI-LA.EDSA.CON,,,ACTIVE
DISTRIBUTION,GOOD,DIGITAL WALKER.LAZADA.FBV.CON,,,ACTIVE
DISTRIBUTION,GOOD,MOBILE 1.ROCKWELL.POWERPLANT.CON,,,ACTIVE
DISTRIBUTION,GOOD,R.O.X.AYALA.BONIFACIO HIGH STREET.CON,,,ACTIVE
DISTRIBUTION,GOOD,RUSTANS.AYALA.GLORIETTA 4.CON,,,ACTIVE
DISTRIBUTION,GOOD,RUSTANS.SHANGRI-LA.EDSA.CON,,,ACTIVE
DISTRIBUTION,GOOD,SM DEPARTMENT STORE.SM.MAKATI.CON,,,ACTIVE
DISTRIBUTION,GOOD,SM DEPARTMENT STORE.SM.MANILA.CON,,,ACTIVE
DISTRIBUTION,GOOD,SM DEPARTMENT STORE.SM.MARIKINA.CON,,,ACTIVE
DISTRIBUTION,GOOD,SM DEPARTMENT STORE.SM.MALL OF ASIA.CON,,,ACTIVE
DISTRIBUTION,GOOD,SM DEPARTMENT STORE.SM.NORTH EDSA.CON,,,ACTIVE
DISTRIBUTION,GOOD,SM DEPARTMENT STORE.SM.MEGAMALL.CON,,,ACTIVE
DISTRIBUTION,GOOD,3D NETWORKS PHILIPPINES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,A. MENARINI PHILIPPINES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ABG BUSINESS SOLUTIONS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ABRAHAM HOLDINGS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"ACCESS FRONTIER TECHNOLOGIES, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,ACTS.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ALPHADENT CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,AUROTECH CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BCG.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BEYONDTHEBLUE TRADING CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BIO SOLUTIONS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BLADE ASIA INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BREAKTHROUGH AND MILESTONES PRODUCTIONS INT'L INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"BRIDGES @ COM, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,BRIGHT VENTURE PARTNERS PHILS. INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,BUSINESS TEAM NUTRITION MANAGEMENT SYSTEM INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"CAE ENTERPRISES PHILS., INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,CALIFORNIA COMPUTER TECHNOLOGY INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,CARBONDIGITAL INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,CD SYSTEMS VENTURES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"CEBU OVERSEA HARDWARE CO.,INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,CEMEX.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"CENTER FOR APPLIED MICROELECTRONICS AND PROGRAMMING, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,CHRONOMETER CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,CITIBANK.CRP,,,ACTIVE
DISTRIBUTION,GOOD,CITICORP FINANCIAL SERVICES & INSURANCE BROKERAGE PHILS. INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"COLUMBIA TECHNOLOGIES, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,"CONCEPT STORE, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,CORWELL TRADING INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,CREATIVE GATEWAY INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"DATA LAND, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,DE LA SALLE BROTHERS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,DELUXE HOTELS AND RECREATION INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,DISCOVERY PRIMEA CONDOMINIUM CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,EASTERN COMMUNICATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,EASTWEST BANK.CRP,,,ACTIVE
DISTRIBUTION,GOOD,EMERSON ELECTRIC ASIA LTD - ROHQ.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"ENDEC, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,E-SCIENCE CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ESP COMMERCIAL.CRP,,,ACTIVE
DISTRIBUTION,GOOD,EUPHONY GENERAL MERCHANDISE.CRP,,,ACTIVE
DISTRIBUTION,GOOD,EUROLINK NETWORK INTERNATIONAL CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FACTSET PHILIPPINES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FASTCO PTE. LTD.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FASTLINK COMPUTER CO.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FGP CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FIREFLY ELECTRIC & LIGHTING CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FIRST CIRCLE GROWTH FINANCE CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FIRST GAS POWER CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FIRST GEN. CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FIRST PHILIPPINE HOLDINGS CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,FORTUNE GENERAL INSURANCE CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,GANMAR ENTERPRISES.CRP,,,ACTIVE
DISTRIBUTION,GOOD,GEOPLAN PHILIPPINES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,GRUPPO-AVANTI CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,GRUPPO INNOVARE CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"H & F RETAIL CONCEPTS, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,HAN SEO PHARMA CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"HONESTBEE PHILIPPINES, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,HOW DO YOU ROLL INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,INEWVATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,INGRAM MICRO PHILIPPINES BPO LLC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"ISCALE SOLUTIONS, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,ISOC HOLDINGS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ITHIEL CORPORATE.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ITHIEL CORPORATION - ALAMINOS.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ITHIEL CORPORATION - DAPITAN.CRP,,,ACTIVE
DISTRIBUTION,GOOD,JBS EXPRESS.CRP,,,ACTIVE
DISTRIBUTION,GOOD,KABAYAN HOTEL PASAY.CRP,,,ACTIVE
DISTRIBUTION,GOOD,KALINISAN STEAM LAUNDRY INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,KENRICH INTERNATIONAL DISTRIBUTOR CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,KEYSYS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,KING'S DEVELOPMENT INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,KNOCKDOWN EVENTS PRODUCTIONS.CRP,,,ACTIVE
DISTRIBUTION,GOOD,LEGEND HOTEL CORPORATE.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"LIFE CARE TECHNOLOGIES, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,LIVING ANGELS CHRISTIAN ACADEMY.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"MARINE BENEFITS ASSISTANCE SERVICES, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,MARTIN'S CAR ACCESSORIES PARTS.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MATTONY INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MC GRAW PHARMA INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MEGAWORLD CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MELCO RESORTS LEISURE (PHP) CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MERGERS DRUGFIL CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MERZ PHILIPPINES HEALTHCARE INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MJC INVESTMENTS CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MKRHK LTD. CO.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MOBILE MATTERS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MOMENT GROUP INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MUSTARD SEED SYSTEMS CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MVGS LAW.CRP,,,ACTIVE
DISTRIBUTION,GOOD,MYTAXI.PH INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,NFS FOUNDATION MINISTRY INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,NOVUS SYSTEMS INTEGRATION & TECHNOLOGIES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"ODV CREATIVE MEDIA, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,OHM PHILIPPINES INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ORTIGAS AND COMPANY.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"PEAKHEALTH, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,PERSONAL COLLECTION DIRECT SELLING INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,"PLDT EMPLOYEE'S MULTI-PURPOSE COOPERATIVE, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,YOU POUND IT INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,PRIMER RESOURCES CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RADIUS TELECOMS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RAEMULAN LANDS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RAYOMAR MANAGEMENT INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,REAL PAGE.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RED PLANET HOTELS BINONDO CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RED PLANET HOTELS MANILA BAY CORP - AURORA.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RED PLANET HOTELS MANILA BAY CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,RESTORED ENERGY DEVELOPMENT CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,REVO SOFTWARE SOLUTIONS INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ROCKWELL LAND.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ROCKWELL PRIMARIES DEVELOPMENT CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,SALARIUM PAYMENTS CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,SENTI TECHLABS INC.CRP,,,ACTIVE
