Channel,Store Type,Store Name,Bill To,Store Location,Status
DISTRIBUTION,ABENSON.ASCOTT.BGC.CON,GOOD,,,ACTIVE
DISTRIBUTION,ABENSON.AYALA.GLORIETTA 3.CON,GOOD,,,ACTIVE
DISTRIBUTION,ABENSON.HEAD OFFICE.CON,GOOD,,,ACTIVE
DISTRIBUTION,ABENSON.W MALL.PASAY.CON,GOOD,,,ACTIVE
DISTRIBUTION,ABENSON.ONLINE.CON,GOOD,,,ACTIVE
DISTRIBUTION,FASHION RACK.CLARK AIRPORT.CON,GOOD,,,ACTIVE
DISTRIBUTION,FASHION RACK.NAIA TERMINAL 3.CON,GOOD,,,ACTIVE
DISTRIBUTION,FELCRIS DAVAO.FELCRIS CENTRALE.DAVAO.CON,GOOD,,,ACTIVE
DISTRIBUTION,GLOBE.HEAD OFFICE.CON,GOOD,,,ACTIVE
DISTRIBUTION,I STUDIO.SM.MANILA.CON,GOOD,,,ACTIVE
DISTRIBUTION,I STUDIO.AYALA.SERENDRA.CON,GOOD,,,ACTIVE
DISTRIBUTION,I STUDIO.SHANGRI-LA.EDSA.CON,GOOD,,,ACTIVE
DISTRIBUTION,DIGITAL WALKER.LAZADA.FBV.CON,GOOD,,,ACTIVE
DISTRIBUTION,MOBILE 1.ROCKWELL.POWERPLANT.CON,GOOD,,,ACTIVE
DISTRIBUTION,R.O.X.AYALA.BONIFACIO HIGH STREET.CON,GOOD,,,ACTIVE
DISTRIBUTION,RUSTANS.AYALA.GLORIETTA 4.CON,GOOD,,,ACTIVE
DISTRIBUTION,RUSTANS.SHANGRI-LA.EDSA.CON,GOOD,,,ACTIVE
DISTRIBUTION,SM DEPARTMENT STORE.SM.MAKATI.CON,GOOD,,,ACTIVE
DISTRIBUTION,SM DEPARTMENT STORE.SM.MANILA.CON,GOOD,,,ACTIVE
DISTRIBUTION,SM DEPARTMENT STORE.SM.MARIKINA.CON,GOOD,,,ACTIVE
DISTRIBUTION,SM DEPARTMENT STORE.SM.MALL OF ASIA.CON,GOOD,,,ACTIVE
DISTRIBUTION,SM DEPARTMENT STORE.SM.NORTH EDSA.CON,GOOD,,,ACTIVE
DISTRIBUTION,SM DEPARTMENT STORE.SM.MEGAMALL.CON,GOOD,,,ACTIVE
DISTRIBUTION,3D NETWORKS PHILIPPINES INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,A. MENARINI PHILIPPINES INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,ABG BUSINESS SOLUTIONS INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,ABRAHAM HOLDINGS INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,"ACCESS FRONTIER TECHNOLOGIES, INC.CRP",GOOD,,,ACTIVE
DISTRIBUTION,ACTS.CRP,GOOD,,,ACTIVE
DISTRIBUTION,ALPHADENT CORP.CRP,GOOD,,,ACTIVE
DISTRIBUTION,AUROTECH CORPORATION.CRP,GOOD,,,ACTIVE
DISTRIBUTION,BCG.CRP,GOOD,,,ACTIVE
DISTRIBUTION,BEYONDTHEBLUE TRADING CORPORATION.CRP,GOOD,,,ACTIVE
DISTRIBUTION,BIO SOLUTIONS INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,BLADE ASIA INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,BREAKTHROUGH AND MILESTONES PRODUCTIONS INT'L INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,"BRIDGES @ COM, INC.CRP",GOOD,,,ACTIVE
DISTRIBUTION,BRIGHT VENTURE PARTNERS PHILS. INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,BUSINESS TEAM NUTRITION MANAGEMENT SYSTEM INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,"CAE ENTERPRISES PHILS., INC.CRP",GOOD,,,ACTIVE
DISTRIBUTION,CALIFORNIA COMPUTER TECHNOLOGY INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,CARBONDIGITAL INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,CD SYSTEMS VENTURES INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,"CEBU OVERSEA HARDWARE CO.,INC.CRP",GOOD,,,ACTIVE
DISTRIBUTION,CEMEX.CRP,GOOD,,,ACTIVE
DISTRIBUTION,"CENTER FOR APPLIED MICROELECTRONICS AND PROGRAMMING, INC.CRP",GOOD,,,ACTIVE
DISTRIBUTION,CHRONOMETER CORPORATION.CRP,GOOD,,,ACTIVE
DISTRIBUTION,CITIBANK.CRP,GOOD,,,ACTIVE
DISTRIBUTION,CITICORP FINANCIAL SERVICES & INSURANCE BROKERAGE PHILS. INC.CRP,GOOD,,,ACTIVE
DISTRIBUTION,"COLUMBIA TECHNOLOGIES, INC.CRP",GOOD,,,ACTIVE
