Channel,Store Code,Store Name,Status
DISTRIBUTION,DISTRI-CON,ABENSON.ASCOTT.BGC.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,ABENSON.AYALA.GLORIETTA 3.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,ABENSON.HEAD OFFICE.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,ABENSON.W MALL.PASAY.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,ABENSON.ONLINE.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,FASHION RACK.CLARK AIRPORT.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,FASHION RACK.NAIA TERMINAL 3.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,FELCRIS DAVAO.FELCRIS CENTRALE.DAVAO.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,GLOBE.HEAD OFFICE.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STUDIO.SM.MANILA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STUDIO.AYALA.SERENDRA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STUDIO.SHANGRI-LA.EDSA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,DIGITAL WALKER.LAZADA.FBV.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,MOBILE 1.ROCKWELL.POWERPLANT.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,R.O.X.AYALA.BONIFACIO HIGH STREET.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,RUSTANS.AYALA.GLORIETTA 4.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,RUSTANS.SHANGRI-LA.EDSA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,SM DEPARTMENT STORE.SM.MAKATI.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,SM DEPARTMENT STORE.SM.MANILA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,SM DEPARTMENT STORE.SM.MARIKINA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,SM DEPARTMENT STORE.SM.MALL OF ASIA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,SM DEPARTMENT STORE.SM.NORTH EDSA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,SM DEPARTMENT STORE.SM.MEGAMALL.CON,ACTIVE
DISTRIBUTION,DISTRI-OUT,3D NETWORKS PHILIPPINES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,A. MENARINI PHILIPPINES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ABG BUSINESS SOLUTIONS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ABRAHAM HOLDINGS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"ACCESS FRONTIER TECHNOLOGIES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,ACTS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ALPHADENT CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,AUROTECH CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,BCG.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,BEYONDTHEBLUE TRADING CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,BIO SOLUTIONS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,BLADE ASIA INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,BREAKTHROUGH AND MILESTONES PRODUCTIONS INT'L INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"BRIDGES @ COM, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,BRIGHT VENTURE PARTNERS PHILS. INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,BUSINESS TEAM NUTRITION MANAGEMENT SYSTEM INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"CAE ENTERPRISES PHILS., INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,CALIFORNIA COMPUTER TECHNOLOGY INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,CARBONDIGITAL INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,CD SYSTEMS VENTURES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"CEBU OVERSEA HARDWARE CO.,INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,CEMEX.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"CENTER FOR APPLIED MICROELECTRONICS AND PROGRAMMING, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,CHRONOMETER CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,CITIBANK.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,CITICORP FINANCIAL SERVICES & INSURANCE BROKERAGE PHILS. INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"COLUMBIA TECHNOLOGIES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,"CONCEPT STORE, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,CORWELL TRADING INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,CREATIVE GATEWAY INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"DATA LAND, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,DE LA SALLE BROTHERS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,DELUXE HOTELS AND RECREATION INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,DISCOVERY PRIMEA CONDOMINIUM CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,EASTERN COMMUNICATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,EASTWEST BANK.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,EMERSON ELECTRIC ASIA LTD - ROHQ.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"ENDEC, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,E-SCIENCE CORPORATION.CRP,ACTIVE
